"","URL","Industry","Company","YearEstablished","Employees","Revenue_DKK","EBITA_DKK","Address","Lat","Long"
"26","https://www.proff.dk/firma/viad-pharma-aps/k%C3%B8benhavn-nv/tekniske-konsulenter/0LOWKKI01OU/","Technical Consultants","VIAD PHARMA ApS",2014,1,1291000,588000,"Hejrevej 39, 2400 København NV",12.532924,55.699054
"27","https://www.proff.dk/firma/gxp-pharma-support-as/sor%C3%B8/tekniske-konsulenter/0LGBIBI01OU/","Technical Consultants","GXP-PHARMA SUPPORT A/S",2014,1,1e+06,852000,"Energivej 3, 4180 Sorø",11.562444,55.463741
"28","https://www.proff.dk/firma/pharmasphere-consulting-aps/herlev/tekniske-konsulenter/0LUIZII01OU/","Technical Consultants","PharmaSphere Consulting ApS",2015,1,138000,112000,"Gammel Klausdalsbrovej 475 B, 2730 Herlev",12.4241678,55.7436641
"29","https://www.proff.dk/firma/pharmatechpower-aps/kalundborg/tekniske-konsulenter/0JKQNFI01OU/","Technical Consultants","PHARMATECHPOWER ApS",2010,1,27000,-29000,"Hjorthøj 30, 4400 Kalundborg",11.027212,55.706236
"30","https://www.proff.dk/firma/altrapharma-aps/holte/tekniske-konsulenter/0KJ3XOI01OU/","Technical Consultants","ALTRAPHARMA ApS",2012,1,-76000,-173000,"Storkevænget 9, 2840 Holte",12.459449,55.813955
"31","https://www.proff.dk/firma/chemistry-consulting-aps/holte/tekniske-konsulenter/0KRL78I01OU/","Technical Consultants","CHEMISTRY CONSULTING ApS",2012,1,42000,-28000,"Øverødvej 68 B, 2840 Holte",12.4852421,55.816281
"32","https://www.proff.dk/firma/avichem-aps/skanderborg/tekniske-konsulenter/0KL7XMI01OU/","Technical Consultants","AVICHEM ApS",2012,4,1830000,399000,"Godthåbsvej 27, 8660 Skanderborg",9.919248,56.046461
"33","https://www.proff.dk/firma/klint-medical-aps/grenaa/tekniske-konsulenter/0OJAQ4I01OU/","Technical Consultants","KLINT MEDICAL ApS",2020,2,1881000,908000,"Noldervej 14, 8500 Grenaa",10.85459,56.517496
"34","https://www.proff.dk/firma/medical-device-consult-aps/roskilde/tekniske-konsulenter/0IA0LAI01OU/","Technical Consultants","MEDICAL DEVICE CONSULT ApS",2007,1,797000,104000,"Brordrupvej 64, 4000 Roskilde",12.082365,55.599487
"35","https://www.proff.dk/firma/hapy-medical-aps/farum/tekniske-konsulenter/0NGCLRI01OU/","Technical Consultants","HAPY Medical ApS",2018,2,2461000,723000,"Trevangsvej 153, 3520 Farum",12.360121,55.825016
"36","https://www.proff.dk/firma/medicologic-as/k%C3%B8benhavn-s/tekniske-konsulenter/0FVZCPI01OU/","Technical Consultants","MEDICOLOGIC A/S",2002,3,2097000,1491000,"Arne Jacobsens Allé 15 2, 2300 København S",12.578714,55.631729
"37","https://www.proff.dk/firma/belair-medical-aps/risskov/tekniske-konsulenter/0F5T1WI01OU/","Technical Consultants","BELAIR MEDICAL ApS",2000,1,120000,-497000,"Stationsgade 4, 8240 Risskov",10.234609,56.181128
"38","https://www.proff.dk/firma/roche-innovation-center-copenhagen-as/h%C3%B8rsholm/bioteknologi/0CBGIBI0225/","Biotechnology","ROCHE INNOVATION CENTER COPENHAGEN A/S",1998,64,274294000,166736000,"Fremtidsvej 3, 2970 Hørsholm",12.487103,55.868876
"39","https://www.proff.dk/firma/zealand-pharma-as/s%C3%B8borg/bioteknologi/0BXMVQI0225/","Biotechnology","ZEALAND PHARMA A/S",1997,222,262749000,-839653000,"Sydmarken 11, 2860 Søborg",12.483439,55.734253
"40","https://www.proff.dk/firma/nordic-bioscience-as/herlev/bioteknologi/0IC5EOI0225/","Biotechnology","NORDIC BIOSCIENCE A/S",2007,164,254960000,112156000,"Herlev Hovedgade 205, 2730 Herlev",12.418955,55.725285
